Component Name,Function,Vendor,Country
V-92S2 Diesel Engine,Propulsion System,Chelyabinsk Tractor Plant,Russia
Thermal Imager,Target Acquisition,Peleng,Belarus
Communication Radio,Internal Communications,BEL / ECIL,India
Kontakt-5 ERA,Tank Protection,Russian OEM,Russia
Composite Armor Plates,Tank Protection,DRDO / Mishra Dhatu Nigam,India
1A45T Fire Control System,Targeting,UralVagonZavod,Russia
Gunner’s Primary Sight,Target Acquisition,Peleng,Belarus
Commander’s Panoramic Sight,Surveillance & Targeting,Thales,France
Navigation System,Battlefield Navigation,DRDO / BEL,India
Digital Fire Control Unit,Ballistic Computation,BEL,India
Track Assembly,Mobility,HVF / Russian OEM,India
Gun Barrel (2A46M),Main Weapon System,OFB under license,India
Smoke Grenade Launchers,Self-protection,BEL / Russian OEM,India
Autoloader System,Ammo Loading,Russian OEM,Russia
Gun Stabilization Unit,Targeting System,Russia / India,Russia
